Label: 180223 G489  PRMT5 DR 																																																													
Metric: Phase Object Confluence (Percent																																																													
Cell Type: G489 																																																													
Passage: 14																																																													
Notes: 																																																													
Analysis Job: 180227 G489 DR PRMT5																																																													

Date Time	Elapsed	B2	C2	D2	B3	C3	D3	B4	C4	D4	B5	C5	D5	B6	C6	D6	B7	C7	D7	B8	C8	D8	B9	C9	D9	B10	C10	D10	B11	C11	D11	E11	F11	G11	E2	F2	G2	E3	F3	G3	E4	F4	G4	E5	F5	G5	E6	F6	G6	E7	F7	G7	E8	F8	G8	E9	F9	G9	E10	F10	G10
43155	0	12.07226	12.13115	9.635365	10.53031	11.12354	9.657693	10.43045	9.963251	10.58082	11.39021	12.12595	11.39931	14.17671	12.53424	9.908819	14.61412	12.58121	11.60341	11.37066	12.57348	13.12707	9.636229	12.14262	13.39113	10.96539	11.18139	12.02683	10.24767	11.58982	12.01503	12.6759	11.6653	10.50997	10.2412	10.07593	11.37099	12.54203	13.16323	9.735109	11.36054	11.61849	11.42651	11.2424	11.20365	9.438013	11.57972	13.38789	11.23924	12.33156	11.94798	10.64693	11.42076	11.24551	10.36336	19.91041	12.05577	11.72455	12.57329	11.17161	10.77747
43155.3333333333	8	14.50495	14.75911	11.93465	12.56249	12.66402	11.40043	12.33425	11.53432	13.07825	13.89337	13.6311	13.51564	15.96237	14.77234	11.93133	16.96646	14.47787	14.12873	13.30617	15.11931	15.35275	11.15678	13.601	15.15231	12.87475	12.86058	14.19283	11.8989	12.97592	14.03373	14.95807	13.18254	12.20043	11.80589	11.77836	12.71831	15.09581	15.27801	11.31035	13.63083	14.12569	13.90368	13.19195	13.30296	11.21638	14.09768	15.45469	13.16434	14.41909	13.81234	12.75453	13.31442	13.38478	12.2892	21.58507	14.06674	13.29261	14.67209	12.9257	12.55797
43155.6673611111	16.0166666666667	16.74322	16.47379	13.35866	14.47015	14.92787	13.0338	14.31185	13.27754	15.28155	15.08766	15.75935	15.90077	18.40987	16.85486	13.54985	19.5131	16.37095	15.98965	15.28047	17.09029	17.68794	12.98462	15.99675	17.48385	14.56023	14.92464	16.83732	13.71808	15.01242	15.87238	17.13987	15.18683	13.63185	13.81524	13.80255	14.89056	17.29066	16.95053	13.11674	15.64981	16.55963	15.95532	15.49298	15.2519	13.09657	16.43227	18.09642	15.33037	16.70186	16.10056	14.50523	15.78161	15.55605	14.01929	23.18463	16.40696	15.00169	16.66912	15.12632	14.26931
43156	24	18.45238	18.83629	14.87435	16.29842	16.81269	14.7703	16.51876	14.29314	16.70511	16.85799	18.18891	16.89445	20.817	19.63788	15.20163	22.20779	18.22063	18.27334	17.57816	18.36027	19.51281	14.03843	17.26683	19.57845	16.69316	16.8054	18.57814	15.69169	17.52806	17.87455	19.53246	16.89923	15.56218	15.84682	15.85874	17.59025	19.27215	19.13831	14.88248	17.11264	18.28881	18.05832	17.22288	17.19644	14.46642	18.05112	20.45013	17.2775	18.9828	17.45657	16.41951	17.80906	17.46011	15.76636	26.37748	18.62001	17.04955	18.50148	16.44701	15.71963
43156.3333333333	32	21.96395	21.75936	17.07347	19.26044	19.74813	17.06337	19.33592	17.57292	20.31381	20.6667	21.24736	20.52558	24.62443	22.78912	18.09131	26.50325	21.66986	21.52252	20.2696	22.07475	23.07901	16.22334	20.45738	23.11106	19.89847	19.94779	22.48833	17.83476	20.85575	21.51446	23.28082	20.14459	18.72598	18.73047	19.47569	19.62965	23.63103	23.32181	17.11015	21.30268	21.61042	21.30704	20.88847	20.38375	17.01196	21.4936	23.64804	20.13359	22.96543	21.1101	19.69387	20.50246	20.99492	18.4208	29.49035	22.08995	19.86389	22.34011	20.11366	19.07937
43156.6673611111	40.0166666666667	24.74981	25.22014	19.97736	21.97794	22.50654	20.57411	22.25543	19.78902	23.74701	24.55656	24.96918	24.03324	28.04646	26.27573	20.93202	30.8105	24.62808	24.60932	23.85726	25.99538	27.13131	18.88466	23.25672	26.43509	22.93861	23.28609	26.14932	20.84718	24.61796	24.69154	26.55942	23.11954	21.47127	21.95641	22.49622	23.07397	27.15007	27.53157	19.97612	24.24204	24.94417	24.89112	23.74606	23.55453	19.63661	24.39572	27.66842	23.76345	26.6367	24.33455	23.05209	24.01518	24.12368	22.00158	33.6264	25.75866	23.10291	24.88269	23.40745	21.83929
43157	48	27.61494	28.29361	22.85814	24.76008	26.05772	23.24072	24.65586	22.9703	27.07806	27.42624	27.94022	26.76507	32.16128	29.39807	23.88342	34.68606	28.57899	28.62381	26.64249	29.51899	30.47481	21.47734	25.68397	29.6312	26.27038	26.76227	29.39557	23.46395	28.21526	28.28001	30.19124	26.8453	23.89768	24.26513	25.88939	26.24455	30.39183	30.88572	23.20407	27.87168	28.68586	28.00107	26.67661	25.58708	22.22506	28.5779	31.29117	26.54794	30.57455	27.46109	25.61182	27.13239	27.34608	24.85613	38.80118	29.51785	26.29776	28.73872	26.57634	24.86311
43157.3333333333	56	30.74528	31.83747	25.83551	27.92112	28.65708	26.96264	28.18893	25.37418	30.34434	30.4757	30.99711	30.23137	34.93198	33.03073	26.92453	38.95232	31.35308	31.57305	29.55337	33.14562	34.05069	24.13284	29.67066	33.30905	29.63521	29.87221	33.82636	27.26939	33.12308	32.29389	34.56682	30.53895	27.1836	27.25359	29.5042	29.22916	33.89737	34.08091	26.37874	30.91031	32.74817	31.61392	30.02916	28.83052	24.7574	31.8399	35.29353	29.15711	33.85777	30.97525	28.88965	30.72951	30.45064	27.88381	41.83928	32.75064	28.7932	32.01424	30.08601	28.51612
43157.6673611111	64.0166666666667	35.38515	37.02351	30.02165	32.03102	33.4975	30.45036	32.8934	30.06612	34.30426	35.99193	36.12255	34.29067	40.66819	39.14689	30.82727	44.52004	35.91532	36.3838	35.1421	38.14568	39.82624	28.04408	35.07232	38.60534	34.72191	34.69767	40.30574	32.55023	37.61472	37.87753	39.84318	34.6025	31.78251	31.5385	32.76249	32.48635	38.95669	38.85195	29.92379	35.77795	36.92099	35.61688	34.095	33.26497	28.05939	36.45096	41.14493	33.9545	38.61292	35.35375	33.96339	34.93459	35.85269	32.28074	50.07273	37.43218	33.07035	37.46496	34.98563	33.0843
43158	72	36.93114	39.703	32.79901	34.68933	35.61058	33.7419	35.47907	32.13034	37.31903	38.50126	39.4724	37.44861	44.72608	41.96102	35.02796	48.04988	39.40578	39.98313	38.0477	41.28847	44.50108	30.51239	38.59561	41.2882	39.41309	38.9856	43.84167	35.93064	41.90968	40.92924	44.47255	38.11496	35.17597	34.12487	35.05277	35.45181	41.76838	41.50261	32.65645	39.07897	40.04754	39.13207	37.36906	35.17637	31.06318	39.22617	43.28403	36.47707	41.96501	38.48699	36.98963	38.40432	38.35661	35.61277	49.21931	40.84392	35.88538	40.92606	38.963	36.03545
43158.3333333333	80	40.13699	41.81853	35.26668	37.17926	38.85572	36.70873	38.40697	34.64139	41.09781	42.2397	42.51963	40.53506	48.06585	45.41739	37.70026	50.84067	42.84477	43.57526	42.1135	46.17417	48.85377	34.01613	42.09359	45.80891	43.70759	43.52289	48.99413	39.45832	45.98937	45.02148	48.54964	41.88324	38.47352	36.55426	38.60066	39.03587	44.94888	44.42801	35.71583	41.6061	43.5882	41.88493	40.27242	38.9721	34.04732	41.70422	46.30004	39.16692	46.18829	41.62449	39.74065	40.99663	42.21274	37.88958	55.57747	44.0837	39.55145	44.67001	43.36597	39.99039
43158.6673611111	88.0166666666667	42.60878	45.60367	38.06573	40.01733	43.12716	40.55007	42.27148	38.26458	45.44854	46.83288	46.79243	44.73775	53.02528	51.05577	42.2436	56.25678	48.0806	48.37949	47.4819	51.54851	54.10575	38.60338	47.46073	52.04841	48.92305	49.33646	55.16797	45.01915	51.75596	50.60188	55.34427	47.17926	43.78402	39.52028	42.16191	42.30746	48.83828	47.82737	38.49728	45.76425	46.80273	45.51277	44.40708	41.51173	36.23813	46.58167	50.10363	42.3882	50.26488	45.51708	44.08405	44.66677	46.68284	41.81772	59.09831	49.4411	44.5778	49.48189	48.07818	45.30431
43158.9993055556	95.9833333333333	43.34844	47.76923	39.47507	41.90147	45.37256	41.99728	43.85638	39.57927	47.55041	48.06607	48.81413	47.95325	57.40035	53.5322	44.48827	58.82398	50.81941	50.50359	49.73906	53.97215	57.01976	41.46802	50.52478	55.49814	52.7398	54.19937	58.59801	48.37368	54.87949	54.82359	59.59932	51.69414	47.83646	40.93558	43.2436	44.11743	50.98026	50.06963	40.29148	48.383	49.69719	47.61528	46.15096	43.51099	38.59549	48.40763	51.79247	44.32005	52.50034	48.27985	45.31647	46.84211	49.42007	44.3511	61.36323	52.02453	46.46446	52.81123	51.52699	48.12711
43159.3333333333	104	45.30317	50.4946	42.28883	44.81833	48.29113	45.16882	47.21455	42.88783	50.4412	52.03294	52.32371	50.60781	60.74833	57.38205	48.66895	62.17991	54.02436	55.42963	53.01178	58.11807	61.30172	45.15486	55.19296	60.73598	58.5312	59.47999	64.26086	51.92641	60.6623	59.42884	64.39941	56.3126	52.07547	43.18866	45.52793	46.13899	53.32854	52.88428	42.62449	50.31918	52.98373	50.09943	48.4007	46.38651	41.34161	51.19902	54.32961	46.81614	56.1451	51.33375	48.44506	50.12212	51.94723	47.77848	66.0649	55.89315	50.55483	58.09025	56.28723	52.53072
43159.6673611111	112.016666666667	46.25661	52.59328	43.96622	47.40348	51.11808	48.45665	49.69419	46.28471	54.0793	56.17765	56.7539	58.12838	64.88861	63.03889	51.7461	65.5835	59.93182	58.47717	58.71181	62.73254	66.02113	50.10381	61.40796	66.1311	64.24672	65.95296	68.27995	60.09556	65.85868	63.63371	70.90314	63.8905	58.58815	44.53755	48.89328	47.00928	55.69473	54.98373	44.35503	53.15639	56.46936	54.17632	51.88171	50.27181	43.18651	56.25827	57.38013	49.95505	59.08709	54.10386	50.98112	53.35604	55.81808	51.8928	71.41354	60.91219	52.87599	64.17201	63.32694	59.78762
43160	120	47.74351	54.79783	45.92912	49.91446	53.63044	50.75085	52.19758	48.37384	56.55678	59.15397	60.60265	61.06971	68.56424	66.5928	55.53901	68.57198	62.68211	62.60732	62.38526	67.20749	69.4326	54.37023	65.19867	70.51734	68.94084	70.57648	72.66821	65.20323	70.38045	68.18353	75.71443	67.94899	63.44803	47.24559	50.67361	48.43313	59.85713	56.61439	46.33738	55.76104	58.66443	56.45443	53.84591	52.74977	44.91859	57.86111	59.27216	51.97182	61.67528	56.50591	53.69016	55.6939	58.11966	54.18324	72.66742	64.58134	56.39891	67.55521	67.40018	63.67783
43160.3333333333	128	49.60466	57.29854	47.94923	51.82598	56.15512	52.82799	55.291	50.25549	59.1022	61.97916	63.28446	63.79023	71.67822	70.15146	58.42997	70.81487	66.14508	64.57797	65.81057	70.42252	73.15092	58.37776	69.01749	74.97681	74.11622	75.24016	75.84586	69.77838	74.27943	72.87504	78.9694	72.19394	67.21148	49.30091	52.35564	50.12461	60.75382	57.74972	48.14227	57.29482	60.01573	58.14872	56.16824	53.78706	46.42673	60.61821	60.82349	54.02825	65.1429	57.97926	55.97644	58.15989	61.20525	56.10239	75.06203	67.68565	60.0703	71.9326	71.89976	68.55323
43160.6673611111	136.016666666667	52.60767	60.17852	50.26218	54.20243	58.83686	55.07618	58.63949	54.26437	61.71455	66.17103	66.141	64.47292	76.85789	74.33899	63.73701	75.64865	66.62276	68.58713	68.59468	74.97276	76.95319	62.37949	72.80215	78.81054	78.69276	79.59141	81.56427	71.85415	77.6822	78.09783	84.02407	76.07456	70.65715	51.79069	54.34196	53.83239	63.72121	62.27536	50.50171	58.61282	62.62042	60.39542	57.70396	55.29137	49.8573	60.15155	63.52417	55.59011	66.84291	61.05254	59.69266	61.51288	64.02702	58.58508	80.12034	71.70496	64.01878	76.24462	74.65527	70.58298
43161	144	53.46915	61.58113	50.8411	55.82906	60.46275	56.64318	60.51344	55.64855	64.23293	68.1298	68.74803	66.49078	79.35214	77.13468	66.98347	77.39785	69.4241	71.69279	71.69447	77.24046	80.52289	65.46849	76.5658	82.20528	82.0845	83.80753	84.52911	75.34886	80.9392	81.14376	87.32449	79.71011	74.6074	52.35105	55.80765	55.81725	65.4146	62.74741	51.90546	60.03114	63.86718	61.68649	58.36258	56.73697	51.09627	62.38194	65.03505	57.86408	69.67326	63.17003	61.31177	64.161	65.3287	60.55029	82.33684	73.60992	67.51141	79.26159	77.85519	74.87963
43161.3333333333	152	54.63572	63.30227	52.05592	57.64922	62.30655	57.63683	62.17955	58.43952	65.73035	70.60178	71.46538	68.98891	81.54977	80.18714	69.99796	79.83334	72.26339	74.24516	74.14031	80.21199	82.70163	69.12711	79.29063	85.51321	84.42902	86.59647	86.39845	78.57816	83.53788	84.2599	90.08054	83.32178	78.55601	53.8962	57.33257	56.50164	67.70054	64.43421	52.47946	62.05877	65.27686	63.8195	60.18572	58.76286	51.50336	63.18469	66.42257	59.61837	71.28051	64.55024	63.15097	64.8548	66.93205	61.89197	83.90041	76.67106	70.37259	81.91359	81.67947	78.04005
43161.6673611111	160.016666666667	57.93426	65.65063	54.3273	60.98629	66.13042	60.56551	66.32221	62.37619	69.43449	74.68307	75.30272	71.0583	85.69082	83.0357	72.93066	82.43497	74.59355	78.32175	77.43251	84.20781	86.25574	73.25293	82.4629	88.98813	87.5248	89.63544	89.50323	81.58336	85.92882	86.89613	91.91662	86.72443	82.41232	56.60921	59.71067	59.42358	69.51186	67.78241	55.41584	64.70122	66.86321	66.48012	62.95997	60.7103	54.00256	65.44538	68.79928	62.15992	73.32964	67.31834	66.38008	69.09876	70.46407	65.34238	87.66723	79.50198	74.94954	85.60033	84.70373	81.61635
43162	168	55.36931	64.75368	53.90721	61.64571	67.9642	61.33976	66.08096	62.95305	71.11424	74.69524	77.92633	76.7591	86.5278	85.63623	73.81881	82.19211	78.02799	79.20757	81.24799	86.33632	87.88718	76.77203	86.2874	91.22186	91.16429	91.8781	90.06152	86.21915	88.76604	87.72213	93.46036	90.26534	86.63642	54.93095	59.62652	57.30031	69.93335	65.44951	54.70516	65.53564	68.08646	67.24868	63.50063	63.42744	52.72582	66.53506	68.98145	62.61081	74.60006	69.09727	66.10034	69.5134	70.78358	67.82706	88.07001	81.48135	75.64485	87.5343	88.38586	84.88551
43162.3333333333	176	56.44812	66.2721	54.69698	63.20741	69.4238	62.39787	67.64689	64.7999	72.64944	76.33772	80.23983	78.71857	88.35163	87.45166	76.27763	82.99244	80.09461	80.69523	83.5601	88.21118	89.45099	80.15289	88.03951	92.95569	92.68869	93.42846	91.82426	88.8815	90.04009	89.77931	94.75232	91.96313	89.17286	54.76768	60.14429	57.7668	70.82649	66.9554	55.29801	65.97606	69.19576	68.00024	64.29687	63.88504	53.2612	67.96674	69.51068	62.96317	75.46218	70.03747	67.68758	71.60651	72.36345	69.35655	89.28417	82.99363	77.72876	89.05293	90.01328	86.97831
43162.6673611111	184.016666666667	57.26243	67.52266	55.78606	65.196	71.0128	64.60771	68.87157	66.20073	74.91287	78.50441	81.80877	79.78445	89.79321	88.73656	78.94685	84.49899	81.61627	82.4596	85.68316	90.0352	90.88853	82.65581	89.42039	94.46502	93.82523	94.61143	93.13183	90.19555	91.55257	91.62425	95.97918	93.26479	90.92889	56.41471	61.19428	58.36298	71.29574	67.28053	55.72333	66.46506	70.64686	69.18172	65.23322	65.995	54.58744	68.9182	70.66158	64.31602	76.99182	71.76306	68.44335	72.99691	74.02381	70.46964	90.95827	85.06944	80.45009	90.81995	92.25471	88.94244
43163	192	58.42359	68.30714	56.65399	66.56401	72.51232	66.45815	71.15572	67.66084	76.6319	80.27704	83.28884	81.99665	91.60254	90.32952	79.76414	85.89325	83.17801	84.06458	87.7712	91.43143	92.73021	85.11566	91.04135	95.37606	95.10243	95.99529	94.80235	91.33736	92.91234	92.81548	96.71532	94.65701	92.52821	56.71994	61.60439	59.89616	72.49374	68.68175	57.10547	67.20914	71.83232	70.77349	67.13828	66.13129	55.3313	69.58924	71.44463	66.05983	77.84789	72.04696	69.98367	74.9369	76.14388	72.96384	92.02993	86.4268	82.4448	92.55603	93.61602	90.71851
43163.3333333333	200	58.69088	69.07225	57.70778	67.40891	73.5862	67.15359	72.32072	69.91854	78.46011	81.81566	85.12274	82.68168	92.57396	91.77478	81.75658	86.99518	84.30045	85.62591	89.55687	93.12062	93.75871	87.38009	92.22837	96.39626	96.09108	96.68726	95.94692	92.46613	93.85497	93.85474	97.41684	95.61541	93.71799	58.1729	62.96739	60.42222	73.80763	69.69214	58.38457	68.39077	72.31769	70.69437	67.43071	67.26186	56.03759	71.31453	72.75872	67.46578	79.55005	74.3583	71.77762	74.8896	76.83288	73.11734	93.05699	87.73706	84.29008	94.48309	94.79033	92.4045
43163.6673611111	208.016666666667	59.5098	69.4834	58.58408	68.65467	75.08041	68.07091	73.52442	71.45911	80.07888	83.17862	86.55286	84.50303	93.67423	92.48962	83.7856	88.22765	85.46671	87.17992	90.53976	94.33006	94.78168	89.14905	93.71506	97.20928	96.84752	97.6096	96.92918	93.31976	94.81907	94.5524	97.97005	96.68714	94.8109	59.26669	63.82781	61.05755	74.75806	70.43629	58.93013	69.41753	73.57668	72.38785	67.68752	68.87801	57.23618	72.53662	73.24042	68.73766	79.96079	75.14014	72.26289	76.4809	78.36709	74.79626	94.10824	88.98186	85.53423	94.99723	95.68866	93.73779
43164	216	60.85623	71.35556	59.26722	69.4127	76.29103	69.24665	75.68462	72.51505	80.54207	84.75486	88.35987	85.98663	94.78914	93.41076	85.59723	89.56891	86.76259	88.15073	91.31296	95.34064	95.49428	90.64734	94.70153	97.88718	97.47543	98.13318	97.67964	94.32755	95.63147	95.31305	98.38745	97.20091	95.59593	58.76781	64.15654	61.96455	75.95003	71.87833	59.80801	70.47044	74.22334	72.99609	68.27863	69.88821	57.82709	74.10078	74.8392	69.50832	80.532	77.12251	74.66943	77.96847	79.81451	76.1935	94.55	90.11535	86.9823	96.17679	96.72334	94.98283
43164.3333333333	224	60.71906	71.19234	59.78396	71.15709	77.72556	70.06847	76.6964	73.71171	81.80512	85.78884	89.07837	87.66272	95.00393	94.31074	87.06438	89.81078	87.853	90.08884	92.78348	96.10436	96.31748	91.87332	95.34513	98.34555	98.00514	98.45831	98.25042	95.14197	96.40565	96.02719	98.81621	97.65259	96.23663	59.66463	64.58737	61.77439	76.24374	72.68674	60.45871	71.25809	76.29099	73.75065	69.82038	70.38506	59.07764	73.83014	75.03357	69.9078	81.43997	77.30615	75.65791	79.08793	80.62555	76.72735	95.54015	91.58273	88.64545	96.83591	97.39056	95.82347
